# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2025-11-29T16:39:40.984Z
#
# Location: GEO -12.0N 283.2E, URSI-Code JI91J JICAMARCA
# Instrument: Ionosonde, Model: DPS-4
#
# Query for measurement intervals of time:
# 2013-11-01T00:00:00.000Z - 2013-12-31T23:59:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
# hF [km] - Minimum virtual height of F trace
# hmF2 [km] - Peak height F2-layer
# B0 [km] - IRI thickness parameter
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of JI91J data provider
#
#Time                     CS   foF2 QD     hF QD   hmF2 QD    B0 QD
2013-11-02T13:15:00.000Z  70 10.000 //  207.0 //  261.1 //  78.9 //
2013-11-02T13:30:00.000Z 100  9.100 //  213.0 //  251.0 //  79.8 //
2013-11-02T13:45:00.000Z 100 10.000 //  205.0 //  275.7 //  97.5 //
2013-11-02T14:00:00.000Z 100  9.300 //  215.0 //  267.0 // 101.5 //
2013-11-02T14:30:00.000Z  70  9.800 //  248.0 //  284.9 // 109.2 //
2013-11-02T14:45:00.000Z 100  9.600 //  214.0 //  286.4 // 107.9 //
2013-11-02T15:00:00.000Z 100  8.900 //  260.0 //  263.9 // 104.9 //
2013-11-02T15:15:00.000Z  50 12.200 //  314.0 //  379.1 // 152.7 //
2013-11-02T15:30:00.000Z  70  9.300 //  295.0 //  289.3 // 109.0 //
2013-11-02T15:45:00.000Z  70  7.100 //  255.0 //  234.8 // 111.3 //
2013-11-02T16:00:00.000Z  50  9.700 //  330.0 //  299.4 // 117.7 //
2013-11-02T16:45:00.000Z  50  9.200 //  369.0 //  283.4 // 132.1 //
2013-11-02T17:00:00.000Z  70  9.500 //  305.0 //  303.0 // 121.3 //
2013-11-02T17:30:00.000Z  70 11.700 //  284.0 //  379.0 // 156.8 //
2013-11-02T17:45:00.000Z   0  7.000 //  195.0 //    --- __   --- __
2013-11-02T18:15:00.000Z  70  9.500 //  280.0 //  290.6 // 109.0 //
2013-11-02T18:30:00.000Z  70  9.000 //  285.0 //  277.4 // 112.6 //
2013-11-02T19:15:00.000Z 100 10.700 //  215.0 //  330.8 // 120.8 //
2013-11-02T19:30:00.000Z 100 10.200 //  220.0 //  315.3 // 115.5 //
2013-11-02T19:45:00.000Z 100 11.650 //  200.0 //  347.2 // 145.3 //
2013-11-02T20:00:00.000Z 100  9.200 //  215.0 //  294.9 // 117.1 //
2013-11-02T20:15:00.000Z 100  9.650 //  195.0 //  303.9 // 127.7 //
2013-11-02T20:30:00.000Z  70 11.700 //  210.0 //  357.1 // 116.7 //
2013-11-02T20:45:00.000Z  70  9.400 //  225.0 //  309.0 // 118.4 //
2013-11-02T21:00:00.000Z 100  9.400 //  225.0 //  313.5 // 125.3 //
2013-11-02T21:15:00.000Z  70  8.900 //  220.0 //  305.6 // 120.5 //
2013-11-02T21:30:00.000Z  70  8.100 //  230.0 //  287.8 // 115.2 //
2013-11-02T21:45:00.000Z  70  9.400 //  238.0 //  324.4 // 123.1 //
2013-11-02T22:00:00.000Z 100  9.000 //  243.0 //  314.6 // 121.3 //
2013-11-02T22:15:00.000Z  70  9.300 //  245.0 //  323.3 // 114.8 //
2013-11-02T22:30:00.000Z  70  7.100 //  250.0 //  269.4 //  81.6 //
2013-11-02T22:40:00.000Z 100  8.000 //  252.0 //  294.6 //  87.6 //
2013-11-02T22:45:00.000Z 100  9.300 //  253.0 //  332.7 // 111.8 //
2013-11-02T22:50:00.000Z  70  6.900 //  257.0 //  274.1 //  65.0 //
2013-11-02T22:55:00.000Z  70  9.300 //  257.0 //  335.8 // 109.8 //
2013-11-02T23:00:00.000Z  70  8.100 //  257.0 //  305.3 //  77.1 //
2013-11-02T23:05:00.000Z  70  8.900 //  262.0 //  333.7 // 100.1 //
