# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2025-11-28T08:01:29.548Z
#
# Location: GEO -12.0N 283.2E, URSI-Code JI91J JICAMARCA
# Instrument: Ionosonde, Model: DPS-4
#
# Query for measurement intervals of time:
# 2013-09-01T00:00:00.000Z - 2013-10-31T23:59:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
# hF [km] - Minimum virtual height of F trace
# hmF2 [km] - Peak height F2-layer
# B0 [km] - IRI thickness parameter
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of JI91J data provider
#
#Time                     CS   foF2 QD     hF QD   hmF2 QD    B0 QD
2013-09-01T00:00:00.000Z 100  8.200 //  299.0 //  406.2 // 114.3 //
2013-09-01T00:15:00.000Z 100  8.000 //  313.0 //  415.3 // 111.5 //
2013-09-01T00:30:00.000Z 100  7.700 //  319.0 //  416.1 // 106.3 //
2013-09-01T00:45:00.000Z 100  5.500 //  320.0 //  346.0 //  46.4 //
2013-09-01T01:00:00.000Z 100  4.700 //  322.5 //  334.9 //  44.9 //
2013-09-01T01:15:00.000Z 100  4.500 //  323.0 //  331.5 //  39.8 //
2013-09-01T01:30:00.000Z 100  6.900 //  330.0 //  411.0 //  93.4 //
2013-09-01T01:45:00.000Z 100  6.600 //  322.5 //  381.9 //  75.1 //
2013-09-01T02:00:00.000Z 100  6.900 //  306.0 //  379.6 //  89.0 //
2013-09-01T02:15:00.000Z 100  7.100 //  282.0 //  380.8 //  99.1 //
2013-09-01T02:30:00.000Z 100  7.200 //  260.0 //  350.7 //  86.8 //
2013-09-01T02:45:00.000Z 100  7.200 //  242.0 //  333.6 //  87.9 //
